Version,Release Date,Archived?,SoftwareVersionExternalIdentifier,Minimum iOS,Notes,Link,Status: ?
2.637.728,08/13/2024,No,"868034389
867836749
862376880",iOS 12.0,Vietnamese version of Roblox. Majority of them were found by pkkf5673,https://www.mediafire.com/file/quhv83f2k2w4fsa/Roblox+-+VNG-2.637.728.ipa/file,
2.639.688,08/27/2024,Yes,868497783,iOS 12.0,,https://www.mediafire.com/file/2iwdzndv73de1ak/Roblox+-+VNG-2.639.688.ipa/file,
2.640.730,09/05/2024,Yes,868738274,iOS 12.0,,https://www.mediafire.com/file/j8vnud5860ukkuj/2.640.730_decrypted.ipa/file,
2.644.702,10/12/2024,Yes,869035228,iOS 12.0,,https://www.mediafire.com/file/uncqt8xk43d1mr1/2.644.702_decrypted.ipa/file,
2.651.836,11/20/2024,Yes,869780444,iOS 12.0,,https://www.mediafire.com/file/qfuya5bamyx5g6r/2.651.836_decrypted.ipa/file,
2.652.762,11/27/2024,Yes,870665568,iOS 12.0,,https://www.mediafire.com/file/qyqo3gn0484q0ee/2.652.762_decrypted.ipa/file,
2.654.464,01/07/2025,Yes,871056994,iOS 12.0,,https://www.mediafire.com/file/2lnkwt3f35wvbls/2.654.464_decrypted.ipa/file,
2.655.1095,01/20/2025,Yes,871794988,iOS 12.0,,https://www.mediafire.com/file/dh6gi11jx5qnaz8/2.655.1095_decrypted.ipa/file,
2.658.460,02/05/2025,Yes,872200854,iOS 12.0,,https://www.mediafire.com/file/51dvwnvahuxhlry/2.658.460_decrypted.ipa/file,
2.659.473,02/13/2025,Yes,872404780,iOS 12.0,,https://www.mediafire.com/file/c1s004xae8k4nni/2.659.473_decrypted.ipa/file,
2.664.718,03/25/2025,Yes,873423106,iOS 12.0,,https://www.mediafire.com/file/shsn58aoijc23fg/2.664.718_decrypted.ipa/file,
2.665.686,03/28/2025,Yes,873538063,iOS 12.0,,https://www.mediafire.com/file/m8st6xrv3gyeis8/2.665.686_decrypted.ipa/file,
2.666.608,04/08/2025,Yes,873743617,iOS 12.0,,https://www.mediafire.com/file/mafw2j5zxw9ot53/2.666.608_decrypted.ipa/file,
2.667.668,04/16/2025,Yes,874004636,iOS 12.0,,https://www.mediafire.com/file/bts85zf8w0y81ui/com.roblox.robloxmobile.vnggames_2.667.668_und3fined.ipa/file,
2.668.658,04/26/2025,Yes,874179896,iOS 12.0,,https://www.mediafire.com/file/tm9o30uai01fgg7/com.roblox.robloxmobile.vnggames_2.668.658_und3fined.ipa/file,
2.670.714,05/09/2025,Yes,874577644,iOS 12.0,,https://www.mediafire.com/file/v71os53nr6hkhxd/2.670.714_decrypted.ipa/file,
2.673.712,05/26/2025,Yes,874950248,iOS 12.0,,https://www.mediafire.com/file/nz5uqxvj161n7za/com.roblox.robloxmobile.vnggames_2.673.712_und3fined.ipa/file,
2.675.724,06/06/2025,Yes,875196639,iOS 12.0,,https://www.mediafire.com/file/wdm0t7wc9b781r9/Roblox+VN_2.675.724_decrypted.ipa/file,
2.676.534,06/18/2025,Yes,875564574,iOS 12.0,,https://www.mediafire.com/file/i47iavofu0qi4tr/Roblox+VN_2.676.534_decrypted.ipa/file,
2.677.766,07/10/2025,No,Unknown,iOS 13.0,,,
2.681.805,07/23/2025,No,Unknown,iOS 13.0,,,
2.683.774,08/06/2025,No,Unknown,iOS 13.0,,,
2.684.688,08/08/2025,No,Unknown,iOS 13.0,,,
2.685.802,08/18/2025,No,Unknown,iOS 13.0,,,
2.688.861,09/10/2025,No,Unknown,iOS 13.0,,,