Version,Release Date,Archived?,SoftwareVersionExternalIdentifier,Minimum iOS,Notes,Link,Status: 0% 0/16
1.132.41496,12/18/2013,No,Unknown,Unknown,,,
1.134.42247,01/23/2014,No,Unknown,Unknown,,,
1.135.42578,01/30/2014,No,Unknown,Unknown,,,
1.136.43170,02/13/2014,No,Unknown,Unknown,,,
1.137.43501,02/18/2014,No,Unknown,Unknown,,,
1.138.43666,02/25/2014,No,Unknown,Unknown,,,
1.139.43843,03/04/2014,No,Unknown,Unknown,,,
1.140.44071,03/09/2014,No,Unknown,Unknown,,,
1.141.44305,03/17/2014,No,Unknown,Unknown,,,
1.142.44504,03/24/2014,No,Unknown,Unknown,,,
1.143.44717,04/01/2014,No,Unknown,Unknown,,,
1.144.45017,04/07/2014,No,Unknown,Unknown,,,
1.145.45304,04/13/2014,No,Unknown,Unknown,,,
1.147.45744,04/30/2014,No,Unknown,Unknown,,,
1.148.45925,05/04/2014,No,Unknown,Unknown,,,