Version,Release Date,Archived?,SoftwareVersionExternalIdentifier,Minimum iOS,Notes,Link,Status: 100% 26/26
1.132.41688,01/03/2014,Yes,231522638,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.132.41688-778760264-231522638.ipa,
1.133.41966,01/12/2014,Yes,296512671,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.133.41966-778760264-296512671.ipa,
1.134.42247,01/23/2014,Yes,304332644,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.134.42247-778760264-304332644.ipa,
1.135.42578,02/05/2014,Yes,335582647,iOS 6.0,Gameplay video: https://www.youtube.com/watch?v=sA5v9lUWNZc,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.135.42578-778760264-335582647.ipa,
1.136.43170,02/12/2014,Yes,368952935,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.136.43170-778760264-368952935.ipa,
1.137.43501,02/18/2014,Yes,391272639,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.137.43501-778760264-391272639.ipa,
1.138.43666,02/25/2014,Yes,410032654,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.138.43666-778760264-410032654.ipa,
1.139.43843,03/05/2014,Yes,425172643,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.139.43843-778760264-425172643.ipa,
1.140.44071,03/09/2014,Yes,447002633,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.140.44071-778760264-447002633.ipa,
1.141.44305,03/17/2014,Yes,464722631,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.141.44305-778760264-464722631.ipa,
1.142.44504,03/25/2014,Yes,482193192,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.142.44504-778760264-482193192.ipa,
1.143.44717,04/01/2014,Yes,502822684,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.143.44717-778760264-502822684.ipa,
1.144.45017,04/09/2014,Yes,523242646,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.144.45017-778760264-523242646.ipa,
1.145.45304,04/13/2014,Yes,543682882,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.145.45304-778760264-543682882.ipa,
1.147.45744,04/28/2014,Yes,568332631,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.147.45744-778760264-568332631.ipa,
1.148.45925,05/04/2014,Yes,575512729,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.148.45925-778760264-575512729.ipa,
1.149.46203,05/09/2014,Yes,583562780,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.149.46203-778760264-583562780.ipa,
1.150.46522,05/20/2014,Yes,590202699,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.150.46522-778760264-590202699.ipa,
1.151.46786,05/28/2014,Yes,593272965,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.151.46786-778760264-593272965.ipa,
1.153.47177,06/04/2014,Yes,595372767,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.153.47177-778760264-595372767.ipa,
1.154.47383,06/18/2014,Yes,601964071,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.154.47383-778760264-601964071.ipa,
1.156.48019,06/30/2014,Yes,608202708,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.156.48019-778760264-608202708.ipa,
1.157.48223,07/09/2014,Yes,620242671,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.157.48223-778760264-620242671.ipa,
1.159.48929,07/21/2014,Yes,630662718,iOS 6.0,,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.159.48929-778760264-630662718.ipa,
1.160.49418,08/03/2014,Yes,655072659,iOS 6.0,iPad only,https://archive.org/download/ultimaterobloxmobilearchive/iOS/Survive%20the%20Disasters/com.roblox.Survive-the-Disasters-1.160.49418-778760264-655072659.ipa,